source,section,SMAPE,env,algorithm
noise,2,36.49211054639683,CarRacing-v2,PPO
noise,3,41.13543543750154,CarRacing-v2,PPO
noise,all,38.29483937137488,CarRacing-v2,PPO
policy,all,39.37875889379613,CarRacing-v2,PPO
env,1,29.904550851382904,HalfCheetah-v4,PPO
env,2,8.9409289212703,HalfCheetah-v4,PPO
env,3,3.6022796748444783,HalfCheetah-v4,PPO
env,all,14.079846551358768,HalfCheetah-v4,PPO
buffer,1,36.78936869788564,HalfCheetah-v4,PPO
buffer,2,24.234230030897827,HalfCheetah-v4,PPO
buffer,3,6.533193596510893,HalfCheetah-v4,PPO
buffer,all,22.456065409799493,HalfCheetah-v4,PPO
noise,1,43.18178016676249,HalfCheetah-v4,PPO
noise,2,39.97325644417766,HalfCheetah-v4,PPO
noise,3,11.094095643438871,HalfCheetah-v4,PPO
noise,all,31.364547450070678,HalfCheetah-v4,PPO
policy,all,27.207765270978832,HalfCheetah-v4,PPO
env,1,44.81665792843609,HalfCheetah-v4,SAC
env,2,25.265457892251035,HalfCheetah-v4,SAC
env,3,33.73818229419106,HalfCheetah-v4,SAC
env,all,34.49204815188662,HalfCheetah-v4,SAC
buffer,1,28.240873806675047,HalfCheetah-v4,SAC
buffer,2,32.12312697954805,HalfCheetah-v4,SAC
buffer,3,28.14773450257982,HalfCheetah-v4,SAC
buffer,all,29.51810320064508,HalfCheetah-v4,SAC
noise,1,43.16319350356251,HalfCheetah-v4,SAC
noise,2,34.10734761777803,HalfCheetah-v4,SAC
noise,3,32.90747948349227,HalfCheetah-v4,SAC
noise,all,36.6536789285553,HalfCheetah-v4,SAC
policy,1,43.499680732248684,HalfCheetah-v4,SAC
policy,2,32.71848613859444,HalfCheetah-v4,SAC
policy,3,18.04239081523201,HalfCheetah-v4,SAC
policy,all,31.284461234269724,HalfCheetah-v4,SAC
env,1,20.25991146921029,Hopper-v4,PPO
env,2,10.690291616923917,Hopper-v4,PPO
env,3,17.363865138511567,Hopper-v4,PPO
env,all,16.857827354617978,Hopper-v4,PPO
buffer,1,19.08201571120443,Hopper-v4,PPO
buffer,2,10.716823480584274,Hopper-v4,PPO
buffer,3,10.590483306452256,Hopper-v4,PPO
buffer,all,14.556121300273045,Hopper-v4,PPO
noise,1,28.2881920246112,Hopper-v4,PPO
noise,2,10.476887589630389,Hopper-v4,PPO
noise,3,8.010678656200122,Hopper-v4,PPO
noise,all,18.27841474522699,Hopper-v4,PPO
policy,all,16.89239137235136,Hopper-v4,PPO
env,1,24.01482613830192,Hopper-v4,SAC
env,2,31.704010380350304,Hopper-v4,SAC
env,3,34.48002394924058,Hopper-v4,SAC
env,all,29.949235364806743,Hopper-v4,SAC
buffer,1,20.216223689625988,Hopper-v4,SAC
buffer,2,29.496255225102928,Hopper-v4,SAC
buffer,3,28.655409443387608,Hopper-v4,SAC
buffer,all,26.14770225633932,Hopper-v4,SAC
noise,1,31.43962131535787,Hopper-v4,SAC
noise,2,36.50320148061395,Hopper-v4,SAC
noise,3,37.33452957335152,Hopper-v4,SAC
noise,all,35.06786217106067,Hopper-v4,SAC
policy,1,26.635194479350428,Hopper-v4,SAC
policy,2,24.70872622075346,Hopper-v4,SAC
policy,3,27.65812654702798,Hopper-v4,SAC
policy,all,26.38317715642732,Hopper-v4,SAC
env,1,17.39190122936225,Humanoid-v4,PPO
env,2,13.587978742138985,Humanoid-v4,PPO
env,3,14.264858798955974,Humanoid-v4,PPO
env,all,15.424141280088577,Humanoid-v4,PPO
buffer,1,16.825855698888116,Humanoid-v4,PPO
buffer,2,13.031040064099214,Humanoid-v4,PPO
buffer,3,13.491729477836005,Humanoid-v4,PPO
buffer,all,14.783262340758707,Humanoid-v4,PPO
noise,1,18.92881609096908,Humanoid-v4,PPO
noise,2,13.784799568029364,Humanoid-v4,PPO
noise,3,14.96430141520434,Humanoid-v4,PPO
noise,all,16.326910376415967,Humanoid-v4,PPO
policy,all,14.935744964274775,Humanoid-v4,PPO
env,1,5.118850699806058,HumanoidStandup-v4,PPO
env,2,4.943285867892739,HumanoidStandup-v4,PPO
env,3,8.57888362817167,HumanoidStandup-v4,PPO
env,all,6.2190666138886,HumanoidStandup-v4,PPO
buffer,1,4.968467989175076,HumanoidStandup-v4,PPO
buffer,2,4.718099367879158,HumanoidStandup-v4,PPO
buffer,3,7.662134152271275,HumanoidStandup-v4,PPO
buffer,all,5.786912485935761,HumanoidStandup-v4,PPO
noise,1,6.969238049031186,HumanoidStandup-v4,PPO
noise,2,7.103247399742744,HumanoidStandup-v4,PPO
noise,3,8.02743933045488,HumanoidStandup-v4,PPO
noise,all,7.368599246002601,HumanoidStandup-v4,PPO
policy,all,6.568256496032192,HumanoidStandup-v4,PPO
env,1,18.258694278934737,InvertedDoublePendulum-v4,PPO
env,2,15.322620792944816,InvertedDoublePendulum-v4,PPO
env,3,2.4994883153548213,InvertedDoublePendulum-v4,PPO
env,all,17.8770226389908,InvertedDoublePendulum-v4,PPO
buffer,1,17.23517667730901,InvertedDoublePendulum-v4,PPO
buffer,2,93.84877285707508,InvertedDoublePendulum-v4,PPO
buffer,3,13.10698837579552,InvertedDoublePendulum-v4,PPO
buffer,all,41.92938698048796,InvertedDoublePendulum-v4,PPO
noise,1,19.88635744635241,InvertedDoublePendulum-v4,PPO
noise,2,22.834649882992032,InvertedDoublePendulum-v4,PPO
noise,3,8.372507332218797,InvertedDoublePendulum-v4,PPO
noise,all,19.83302224340156,InvertedDoublePendulum-v4,PPO
policy,all,17.241023876090736,InvertedDoublePendulum-v4,PPO
env,1,16.34333143092409,InvertedDoublePendulum-v4,SAC
env,2,15.949365096809782,InvertedDoublePendulum-v4,SAC
env,3,15.560379542832951,InvertedDoublePendulum-v4,SAC
env,all,15.947033220895026,InvertedDoublePendulum-v4,SAC
buffer,1,15.715106685996169,InvertedDoublePendulum-v4,SAC
buffer,2,14.87162927877685,InvertedDoublePendulum-v4,SAC
buffer,3,14.567638096742904,InvertedDoublePendulum-v4,SAC
buffer,all,15.031337689034526,InvertedDoublePendulum-v4,SAC
noise,1,17.903865557256683,InvertedDoublePendulum-v4,SAC
