anti,algorithm,section,learning_timesteps,environment,env_seed,policy_seed,noise_seed,buffer_seed,parameter,seed_value,model_name,avg_reward
False,SAC,1,8333,BipedalWalker-v3,111,222,333,444,buffer,1,SAC_1_8333_BipedalWalker-v3_111_222_333_444_buffer=1,-112.83589182
False,SAC,2,8333,BipedalWalker-v3,111,222,333,444,buffer,6,SAC_2_8333_BipedalWalker-v3_111_222_333_444_buffer=6,-108.8877403382353
False,SAC,3,8333,BipedalWalker-v3,111,222,333,444,buffer,2,SAC_3_8333_BipedalWalker-v3_111_222_333_444_buffer=2,-106.48071518390805
True,SAC,1,8333,BipedalWalker-v3,111,222,333,444,noise,11,SAC_1_8333_BipedalWalker-v3_111_222_333_444_noise=11,-122.63620289473688
True,SAC,2,8333,BipedalWalker-v3,111,222,333,444,noise,6,SAC_2_8333_BipedalWalker-v3_111_222_333_444_noise=6,-121.78653529411768
True,SAC,3,8333,BipedalWalker-v3,111,222,333,444,noise,5,SAC_3_8333_BipedalWalker-v3_111_222_333_444_noise=5,-120.0939678846154
False,SAC,1,8333,BipedalWalker-v3,111,222,333,444,noise,3,SAC_1_8333_BipedalWalker-v3_111_222_333_444_noise=3,-110.07557262318838
False,SAC,2,8333,BipedalWalker-v3,111,222,333,444,noise,16,SAC_2_8333_BipedalWalker-v3_111_222_333_444_noise=16,-106.89738728571427
False,SAC,3,8333,BipedalWalker-v3,111,222,333,444,noise,16,SAC_3_8333_BipedalWalker-v3_111_222_333_444_noise=16,-105.52746398757763
True,SAC,1,8333,BipedalWalker-v3,111,222,333,444,policy,9,SAC_1_8333_BipedalWalker-v3_111_222_333_444_policy=9,-118.95332447222223
True,SAC,2,8333,BipedalWalker-v3,111,222,333,444,policy,7,SAC_2_8333_BipedalWalker-v3_111_222_333_444_policy=7,-118.29901729787233
True,SAC,3,8333,BipedalWalker-v3,111,222,333,444,policy,1,SAC_3_8333_BipedalWalker-v3_111_222_333_444_policy=1,-118.65551592647058
False,SAC,1,8333,BipedalWalker-v3,111,222,333,444,policy,4,SAC_1_8333_BipedalWalker-v3_111_222_333_444_policy=4,-112.43517579166668
False,SAC,2,8333,BipedalWalker-v3,111,222,333,444,policy,3,SAC_2_8333_BipedalWalker-v3_111_222_333_444_policy=3,-109.30160962318844
False,SAC,3,8333,BipedalWalker-v3,111,222,333,444,policy,3,SAC_3_8333_BipedalWalker-v3_111_222_333_444_policy=3,-108.25090695698928

True,SAC,1,13333,BipedalWalkerHardcore-v3,111,222,333,444,env,14,SAC_1_13333_BipedalWalkerHardcore-v3_111_222_333_444_env=14,-119.41122710526317
